username,password,gender,dob
a20230920_ankith,ankith0949,male,2023-09-20
m20230926_monalisa ,ankith1234,female,2023-09-26
a20101230_abcd,ankith123,male,2010-12-30
m20021230_monalisa,mona1669,female,2002-12-30
a20190221_an,ankith12,male,2019-02-21
s20230925_sccc,facadc,male,2023-09-25
a20230901_adfaf,abd1234,others,2023-09-01
s20160922_subho,ascnsak,male,2016-09-22
a20140622_abc,abcdef,female,2014-06-22
a20140122_ana,ankith123,male,2014-01-22
a20170522_ana,1,female,2017-05-22
m20110522_monalisa,hackathon,female,2011-05-22
m20180522_monalisa ,abc1235,female,2018-05-22
